"startwith";"contains";"endswith";"find";"replace";"rawmin";"rawmax";"engmin";"engmax";"unit";"format";"description";"alarmoption";"trendoption"

;_farapressure;"";"_farapressure";"";;;;;"";"";"";;

;;"_AirHandlingFanConfig.offDelayS";"_AirHandlingFanConfig.offDelayS";"_SP5";;;;;"s";"";"Frånslagsfördröjning";;
;;"_AirHandlingFanConfig.onDelayS";"_AirHandlingFanConfig.onDelayS";"_SP6";;;;;"s";"";"Tillslagsfördröjning";;
;;"_AirHandlingFanConfig.alarmDelayS";"_AirHandlingFanConfig.alarmDelayS";"_AD";;;;;"s";"";"Larmfördröjning";;

;;"_AlarmTimerConfig.alarmDelayU";"_AlarmTimerConfig.alarmDelayU";"_AD";;;;;"s";"";"Larmfördröjning";;

;;"_LowAlarmConfig.alarmDelayU";"_LowAlarmConfig.alarmDelayU";"_LAD";;;;;"s";"";"Larmfördröjning";;
;;"_LowAlarmConfig.lower";"_LowAlarmConfig.lower";"_ALL";;;;;"";"";"Larmgräns låg";;

;;"_HighAlarmConfig.alarmDelayU";"_HighAlarmConfig.alarmDelayU";"_HAD";;;;;"s";"";"Larmfördröjning";;
;;"_HighAlarmConfig.upper";"_HighAlarmConfig.upper";"_AHL";;;;;"";"";"Larmgräns hög";;

;;"_DeviationAlarmConfig.alarmDelayU";"_DeviationAlarmConfig.alarmDelayU";"_AD";;;;;"s";"";"Larmfördröjning";;
;;"_DeviationAlarmConfig.upper";"_DeviationAlarmConfig.upper";"_ADL1";;;;;"";"0.0";"Larmgräns Avvikelse övre gräns";;
;;"_DeviationAlarmConfig.lower";"_DeviationAlarmConfig.lower";"_ADL2";;;;;"";"0.0";"Larmgräns Avvikelse nedre gräns";;


;;"_AntiFreezeControllerConfig.freezeDangerLimit";"_AntiFreezeControllerConfig.freezeDangerLimit";"_SP1";;;;;"°C";"0.0";"Fryssvaktsgräns";;
;;"_AntiFreezeControllerConfig.freezeDangerMargin";"_AntiFreezeControllerConfig.freezeDangerMargin";"_SP2";;;;;"°C";"0.0";"Säkerhetsmarginal för normaldrift beroende på frysvaktsgräns";;
;;"_AntiFreezeControllerConfig.standbyTemperatureSetpoint";"_AntiFreezeControllerConfig.standbyTemperatureSetpoint";"_SP3";;;;;"°C";"0.0";"Börvärde varmhållning vid standby";;



;;"_BasicControllerConfig.pfactor";"_BasicControllerConfig.pfactor";"_P";;;;;"";"0.0";"Pfaktor";;
;;"_BasicControllerConfig.itimeS";"_BasicControllerConfig.itimeS";"_I";;;;;"";"0";"I-tid";;
;;"_BasicControllerConfig.periodS";"_BasicControllerConfig.periodS";"_S";;;;;"s";"0";"Sampletid";;


;;"_BasicMonitoredControllerConfig.pfactor";"_BasicMonitoredControllerConfig.pfactor";"_P";;;;;"";"0.0";"Pfaktor";;
;;"_BasicMonitoredControllerConfig.itimeS";"_BasicMonitoredControllerConfig.itimeS";"_I";;;;;"";"0";"I-tid";;
;;"_BasicMonitoredControllerConfig.alarmDelayU";"_BasicMonitoredControllerConfig.alarmDelayU";"_AD";;;;;"s";"";"Larmfördröjning";;
;;"_BasicMonitoredControllerConfig.upper";"_BasicMonitoredControllerConfig.upper";"_ADL1";;;;;"";"0.0";"Larmgräns Avvikelse övre gräns";;
;;"_BasicMonitoredControllerConfig.lower";"_BasicMonitoredControllerConfig.lower";"_ADL2";;;;;"";"0.0";"Larmgräns Avvikelse nedre gräns";;



;;"_CirculationPumpConfig.offDelayS";"_CirculationPumpConfig.offDelayS";"_SP5";;;;;"s";"";"Frånslagsfördröjning";;
;;"_CirculationPumpConfig.onDelayS";"_CirculationPumpConfig.onDelayS";"_SP6";;;;;"s";"";"Tillslagsfördröjning";;
;;"_CirculationPumpConfig.alarmDelayS";"_CirculationPumpConfig.alarmDelayS";"_AD";;;;;"s";"";"Larmfördröjning";;
;;"_CirculationPumpConfig.exerciseS";"_CirculationPumpConfig.exerciseS";"_SP7";;;;;"s";"";"Motionsperiod";;


;;"_HeatPumpConfig.odtLimit";"_HeatPumpConfig.odtLimit";"_SP1";;;;;"°C";"0.0";"Startgräns utetemp.";;
